,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay,popularity
0,Nice room with superb city view,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,0.5,2,0,Short-Term,not_popular
1,"Easy going landlord,easy place",Bang Na,13.66818,100.61674,Private room,1316,1,0,0.0,2,0,Short-Term,not_popular
2,modern-style apartment in Bangkok,Bang Kapi,13.75232,100.62402,Private room,800,60,0,0.0,1,0,Long-Term,not_popular
3,Spacious one bedroom at The Kris Condo Bldg. 3,Din Daeng,13.78823,100.57256,Private room,1286,7,2,0.03,1,1,Short-Term,not_popular
4,Suite Room 3 at MetroPoint,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,0.0,3,0,Short-Term,not_popular
5,NEw Pro!!  Bungalow Bkk Centre,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,0.17,41,0,Long-Term,not_popular
6,Condo with Chaopraya River View,Rat Burana,13.68556,100.49535,Private room,1558,3,1,0.01,1,0,Short-Term,not_popular
7,1 chic bedroom apartment in BKK,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,0.0,1,0,Short-Term,not_popular
8,"Batcave, Pool view, near Chatuchak",Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,0.09,1,0,Short-Term,not_popular
9,Standard Room Decor do Hostel,Khlong San,13.7204,100.50757,Private room,700,2,4,0.03,10,0,Short-Term,not_popular
10,Sathorn Terrace Apartment(61),Bang Rak,13.71934,100.5176,Private room,1150,2,27,0.19,7,0,Short-Term,not_popular
11,2BR apt in a cozy neighborhood,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,1.17,1,1,Short-Term,not_popular
12,Comfy bedroom near River pier & BTS  Taksin.,Sathon,13.71802,100.51539,Hotel room,1862,2,208,1.44,7,0,Short-Term,not_popular
13,budget hotel bangkok near subway,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,0.02,2,0,Short-Term,not_popular
14,"Deluxe Condo, Nana, Pool/GYM/Sauna",Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,0.0,1,0,Long-Term,not_popular
15,Luxury@swimpool/FreeWiFi/nearJJMkt,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,0.0,1,0,Short-Term,not_popular
16,Nice and Quiet condo near BTS Onnut,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,0.78,1,0,Long-Term,not_popular
17,"24Flr- 1br Apt near JJ, MRT, BTS",Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,0.09,6,0,Short-Term,not_popular
18,Central Bangkok 3 Bedroom Apartment,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,1.08,1,0,Long-Term,not_popular
19,The Duplex - Asoke- Luxury 92sqm,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2.59,1,3,Short-Term,popular
20,"New, Stylish & Luxury Studio Condo",Sai Mai,13.9077,100.64473,Private room,1500,1,0,0.0,1,0,Short-Term,not_popular
