,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
19,The Duplex - Asoke- Luxury 92sqm,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2.59,1,3,Short-Term
41,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,3.77,37,1,Short-Term
46,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2.59,8,7,Short-Term
47,☞Downtown Central Studio-Bangkok MRT,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,3.0,8,9,Short-Term
53,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",Sathon,13.71192,100.51535,Entire home/apt,866,2,472,4.02,7,29,Short-Term
61,Long-stay special rate spacious entire floor Siam,Parthum Wan,13.74814,100.52016,Entire home/apt,2900,1125,295,2.61,3,0,Long-Term
72,"Best nr Chatujak, MRT, BTS free wifi&fNetflix",Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2.72,1,19,Short-Term
73,❂Citycenter✔Subway station✔Private Bathroom4Aircon,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,3.02,37,0,Short-Term
80,✺✺99 feet in the sky✺✺,Sathon,13.72062,100.54707,Entire home/apt,829,1,430,3.39,37,10,Short-Term
89,❂100% Private&Central Light EnSuite,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,2.67,37,0,Short-Term
106,Hip Studio ♥ Of BKK+River+BTS+WIFI,Sathon,13.71278,100.5156,Entire home/apt,811,2,404,3.67,7,19,Short-Term
120,Deluxe Condo at perfect location 2-0,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,1.83,3,20,Short-Term
121,Wow! Entire 3 story house in Bangkok,Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,2.97,1,2,Short-Term
127,☀ ☼Sky bedroom with a smooth life view☼☀,Sathon,13.72061,100.54706,Entire home/apt,750,1,426,3.39,37,10,Short-Term
129,✬Sweet Dreams in the Center of Bangkok@Sky House✬,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,1.84,37,4,Short-Term
149,Mini chic Apartment -BTS S Taksin,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,1.79,41,6,Short-Term
193,"River view penthouse 30 Fl, 5 Pers,  taxi included",Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,2.13,1,43,Short-Term
194,✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,Sathon,13.72065,100.54713,Entire home/apt,850,1,278,2.31,37,10,Short-Term
207,❂City center☾Train station☽Private Bathroom8Aircon,Sathon,13.72074,100.54712,Entire home/apt,800,1,192,1.78,37,0,Short-Term
220,Newly Renovated 3BR Suite 146sqm BTS Thonglo,Vadhana,13.73958,100.5865,Entire home/apt,4720,2,252,2.11,2,0,Short-Term
250,Spacious 1BR with Spectacular View,Khlong Toei,13.72635,100.57211,Entire home/apt,2123,3,210,1.98,3,18,Short-Term
263,100 SQM Spacious 2BR - 450 m from RN03 station,Chatu Chak,13.84279,100.56287,Entire home/apt,2236,2,215,1.96,13,29,Short-Term
273,(W1) 2 Bedroom/MRT Samyan/Free WIFI/6ppl,Bang Rak,13.73232,100.52657,Entire home/apt,2701,1,239,2.12,8,0,Short-Term
279,Luxury Serviced House City Centre - 250 sq meters.,Huai Khwang,13.75806,100.56938,Entire home/apt,4161,3,195,1.82,1,4,Short-Term
287,☞✭✮✯Old Spice Quiet Luxury in Heart of Bangkok✬✭✮✯,Sathon,13.72052,100.54682,Entire home/apt,1400,1,300,2.69,8,4,Short-Term
307,Cool Studio 1 walk 5 min to BTS. S. Taksin,Sathon,13.71637,100.51592,Entire home/apt,888,100,228,2.03,41,0,Long-Term
311,❂Citycenter✺Subway station✺Private Bathroom✺A1rc0n,Sathon,13.72066,100.5471,Entire home/apt,800,1,193,1.72,37,0,Short-Term
326,"10minBTS & Pier, BKK heart+Pool+Gym+Sauna+FastWifi",Sathon,13.71261,100.51296,Entire home/apt,800,1,251,2.39,25,30,Short-Term
350,LOFT 2 BR Silom- 5 min BTS S Taksin,Sathon,13.71759,100.51373,Entire home/apt,1700,1,218,2.07,41,11,Short-Term
356,Fabulous Second Floor Apartment Dasiri Downtown,Vadhana,13.746885,100.558998,Entire home/apt,1380,1,238,2.42,5,2,Short-Term
357,Fabulous Third Floor Apartment Dasiri Downtown,Vadhana,13.746899,100.558998,Entire home/apt,1150,1,218,2.2,5,2,Short-Term
374,"50square,Quiet apt close to MRT.",Huai Khwang,13.77496,100.57364,Entire home/apt,1351,1,181,1.75,1,0,Short-Term
375,Sitara Place Serviced Apartment and Hotel,Din Daeng,13.764796257019045,100.56478118896484,Entire home/apt,990,1,302,3.38,1,277,Short-Term
383,"70 sqm FOREST 2 BR/2Baths,MRT Lumpini/Sathon/Silom",Sathon,13.71959,100.5486,Entire home/apt,3067,1,183,1.91,29,5,Short-Term
413,150m to MRT LatPhrao • City View • Rooftop Pool,Chatu Chak,13.80786,100.57013,Entire home/apt,1860,3,332,3.28,13,26,Short-Term
427,☑Green and Quiet Heart of Bangkok With a Balcony,Sathon,13.72077,100.54692,Entire home/apt,1200,1,248,2.7,8,8,Short-Term
428,☞Downtown Quiet Luxury in Heart of Bangkok,Sathon,13.72075,100.54692,Entire home/apt,1450,1,233,2.33,8,3,Short-Term
484,Benviar - Three Bedroom Suite(225 Sqm) @Chitlom,Parthum Wan,13.74034,100.54555,Entire home/apt,17265,1,344,3.38,7,59,Short-Term
493,1 Br. Luxury Sky View MRT Samyan,Bang Rak,13.73251,100.52679,Entire home/apt,1200,30,374,3.76,2,19,Long-Term
494,Fabulous First Floor Apartment Dasiri Downtown,Vadhana,13.746896,100.558998,Entire home/apt,1725,1,188,1.9,5,3,Short-Term
499,"Cozy studio, 5 mins to BTS Udomsuk",Bang Na,13.67907,100.61437,Entire home/apt,520,4,178,1.75,18,3,Short-Term
